Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
"Psaume 127-4 ""Heureux qui craint le Seigneur"" Groslambert"	127		Heureux qui craint le Seigneur !						
"Psaume 127-4 ""Heureux qui craint le Seigneur"" Wackenheim"	127		Heureux qui craint le Seigneur !						
"Psaume 129-1 ""Près du Seigneur"" Magnificat"	129		Près du Seigneur est l’amour, près de lui abonde le rachat.						
"Psaume 130 ""Garde mon âme dans la paix"" Levain"	130		Garde mon âme dans la paix près de toi, Seigneur.						
"Psaume 130 ""Garde mon âme dans la paix"" Previdi"	130		Garde mon âme dans la paix près de toi, Seigneur.						
"Psaume 130 ""Garde mon âme dans la paix"" Wackenheim"	130		Garde mon âme dans la paix près de toi, Seigneur.						
"Psaume 136 ""Que ma langue s’attache à mon palais"". Inconnu"	136		Que ma langue s’attache à mon palais si je perds ton souvenir !						
"Psaume 137-1 ""Je te chante"" Bureau"	137		Je te chante, Seigneur, en présence des anges						
"Psaume 137-2 ""Le jour où je t’appelle"" Previdi"	137		Le jour où je t’appelle, réponds-moi, Seigneur.						
"Psaume 137-2 ""Le jour où je t’appelle"" Robert"	137		Le jour où je t’appelle, réponds-moi, Seigneur.						
"Psaume 144 ""Proche est le Seigneur de ceux qui l’invoquent"" Wackenheim"	144		Proche est le Seigneur de ceux qui l’invoquent						
Psaume 144-2 Tu ouvres la main, Seigneur : nous voici rassasiés	144		Tu ouvres la main, Seigneur : nous voici rassasiés.						
"Psaume 144-4 ""Mon Dieu, mon Roi"" Gouzes"	144		Mon Dieu, mon Roi, je bénirai ton nom toujours et à jamais !						
"Psaume 145-1 ""Chante ô mon âme"" Bureau"	145		Chante, ô mon âme, la louange du Seigneur !						
"Psaume 145-8 ""Je veux louer le Seigneur tant que je vis"" Robert"	145		Je veux louer le Seigneur, tant que je vis.						
"Psaume 146-1 ""Bénissons le Seigneur"" Magnificat"	146 (147a)		Bénissons le Seigneur qui guérit nos blessures !						
"Psaume 146-1 ""Bénissons le Seigneur"" Ospital"	146 (147a)		Bénissons le Seigneur qui guérit nos blessures !						
"Psaume Cantique de Daniel ""3,82-87"""	Cantique de Daniel 3		A toi, louange et gloire éternellement!						
"Psaume Cantique Isaïe 12 ""Exultant de joie"" Gouzes"	Cantique d'Isaïe 12		Exultant de joie, vous puiserez les eaux aux sources du salut !						
"Psaume Cantique Isaïe 12 ""Exultant de joie"" Magnificat"	Cantique d'Isaïe 12		Exultant de joie, vous puiserez les eaux aux sources du salut !						
"Psaume Cantique Isaïe 12 ""Jubile, crie de joie"" Magnificat"	Cantique d'Isaïe 12		Jubile, crie de joie, car il est grand au milieu de toi, le Saint d’Israël						
"Psaume Cantique Luc 1 ""Mon âme exulte en mon Dieu"" Ospital"	Cantique de Luc 1		Mon âme exulte en mon Dieu						
"Psaume Cantique Luc 1 ""Mon âme exulte en mon Dieu"" Wackenheim"	Cantique de Luc 1		Mon âme exulte en mon Dieu						
Psaume de la création - Mon Dieu, tu es Grand, tu es Beau	Psaume de la création								
PU Accueille au creux de tes mains	Accueille au creux de tes mains la prière de tes enfants								Accueille au creux de tes mains
PU Avec Marie ta mère, nous te supplions	Avec Marie ta mère, nous te supplions								
PU Dans ta miséricorde, Seigneur, écoute-nous	Dans ta miséricorde, Seigneur, écoute-nous								
PU Dieu de bonté, exauce nos prières !	Dieu de bonté, exauce nos prières !								
PU Dieu de l'Alliance, écoute nous !	Dieu de l'Alliance, écoute nous !								
PU Dieu de lumière, accueille nos prières !	Dieu de lumière, accueille nos prières !								
PU Dieu de tendresse et d'amour	Dieu de tendresse et d’amour, Dieu miséricordieux, Que nos prières s’élèvent devant Toi, Père exauce-nous.								
PU Dieu de tendresse, souviens-toi de nous	Dieu de tendresse, souviens-toi de nous								
PU Écoute-nous, Seigneur, et viens sauver ton peuple !	Écoute-nous, Seigneur, et viens sauver ton peuple !								
PU Entends nos prières	Entends nos prières, Entends nos voix, Entends nos prières Monter vers Toi. 								
PU Fais nous, Seigneur, les témoins de ton amour	R/ Fais de nous, Seigneur, les témoins de ton amour.								
PU Jésus Emmanuel exauce nous	Jésus Emmanuel exauce nous								
PU Montre nous, Seigneur, ton visage d'amour !	Montre nous, Seigneur, ton visage d'amour !								
PU Notre Père, notre Père nous te supplions humblement	Notre Père, notre Père nous te supplions humblement								
PU Ô Christ Emmanuel exauce nous	Ô Christ Emmanuel exauce nous								
PU Ô Christ ressuscité, exauce-nous. Missel	Ô Christ ressuscité, exauce-nous								
PU Ô Christ ressuscité, exause-nous. Deiss	Ô Christ ressucité, exause-nous								
PU Ô seigneur écoute-nous alléluia. Ô seigneur exauce-nous alléluia	Ô Seigneur écoute-nous Alléluia. Ô Seigneur exauce-nous Alléluia								
PU Oh ! Seigneur, en ce jour, écoute nos prières	Oh ! Seigneur, en ce jour, écoute nos prières								
PU Pour les hommes et pour les femmes	Pour les hommes et pour les femmes								
PU Seigneur, donne un signe de ton amour !	Seigneur, donne un signe de ton amour !								
PU Seigneur, écoute-nous, Seigneur, exauce-nous ! Slave	Seigneur, écoute-nous, Seigneur, exauce-nous !								
PU Seigneur, entends la prière qui monte de nos coeurs	Seigneur, entends la prière qui monte de nos coeurs								
PU Seigneur, rassemble nous dans la paix de ton amour	Seigneur, rassemble nous dans la paix de ton amour								
PU Sur la terre des hommes, fais briller, Seigneur, ton amour!	Sur la terre des hommes, fais briller, Seigneur, ton amour !								
PU Sûrs de ton amour, et forts de notre foi, Seigneur, nous te prions	Sûrs de ton amour, et forts de notre foi, Seigneur, nous te prions								
PU Toi qui es lumière, Toi qui es l'Amour	Toi qui es lumière, toi qui es l'amour Mets dans nos ténèbres, ton Esprit d'amour.								
PU Toi qui nous aimes, écoute-nous, Seigneur	Toi qui nous aimes, écoute-nous, Seigneur								
PU Veille avec nous, Seigneur	Veille avec nous, Seigneur								
Qu'exulte tout l'univers	Qu’exulte tout l’univers		R/ Qu’exulte tout l’univers, Que soit chantée en tous lieux La puissance de Dieu. Dans une même allégresse, Terre et cieux dansent de joie, Chantent alléluia !	1. Par amour des pécheurs La lumière est venue ; Elle a changé les cœurs De tous ceux qui l’ont reconnue.	2. Vous étiez dans la nuit, Maintenant jubilez, Dieu vous donne la vie ; Par amour, il s’est incarné.	3. Exultez, rendez gloire, Chantez que Dieu est bon, Christ est notre victoire, Il est notre résurrection.	4. Que chacun reconnaisse : Jésus est notre Roi. Rejetons nos tristesses Pour une éternité de joie.  5. Toi, l’unique Seigneur, Envoie l’Esprit d’amour. Viens régner dans nos cœurs, Nous voulons hâter ton retour.		
Que chante pour toi	Que chante pour toi	1. Sans fin j'exulterai, pour toi je chanterai, Ô Dieu car tu es bon. Je danserai pour toi, tu es toute ma joie, Ô Dieu car tu es bon.	R/ Que chante pour toi la bouche des enfants, Qu'exulte en toi le peuple des vivants. (bis)		2. Nous recevons de toi la force de nos pas, O Dieu car tu es bon. Que craindre désormais, tu marches à nos côtés, Ô Dieu car tu es bon.	3. Chacun est à tes yeux unique et merveilleux, Ô Dieu car tu es bon. Tu donnes chaque jour le Pain de ton amour, Ô Dieu car tu es bon.	4. Que toutes les nations s'assemblent pour ton Nom, Ô Dieu car tu es bon. De toi vient toute paix, c'est toi notre unité, Ô Dieu car tu es bon. 5. Que s'élèvent toujours vers toi nos chants d'amour, Ô Dieu car tu es bon. En toi tout reprend vie au feu de ton Esprit, Ô Dieu car tu es bon.		
Que ma bouche chante ta louange	Que ma bouche chante ta louange	1. De toi, Seigneur, nous attendons la vie, Que ma bouche chante ta louange. Tu es pour nous un rempart, un appui, Que ma bouche chante ta louange. La joie du cœur vient de toi ô Seigneur, Que ma bouche chante ta louange. Notre confiance est dans ton nom très saint ! Que ma bouche chante ta louange.	R/ Sois loué Seigneur, pour ta grandeur, Sois loué pour tous tes bienfaits. Gloire à toi Seigneur, tu es vainqueur, Ton amour inonde nos cœurs. Que ma bouche chante ta louange.		2. Seigneur, tu as éclairé notre nuit, Que ma bouche chante ta louange. Tu es lumière et clarté sur nos pas, Que ma bouche chante ta louange. Tu affermis nos mains pour le combat, Que ma bouche chante ta louange. Seigneur tu nous fortifies dans la foi ! Que ma bouche chante ta louange.	3. Tu viens sauver tes enfants égarés, Que ma bouche chante ta louange. Qui dans leur cœur espèrent en ton amour, Que ma bouche chante ta louange. Dans leur angoisse, ils ont crié vers toi, Que ma bouche chante ta louange. Seigneur tu entends le son de leur voix ! Que ma bouche chante ta louange.	4. Des ennemis, toi tu m’as délivré, Que ma bouche chante ta louange. De l’agresseur, tu m’as fait triompher, Que ma bouche chante ta louange. Je te rends grâce au milieu des nations, Que ma bouche chante ta louange. Seigneur, en tout temps, je fête ton Nom ! Que ma bouche chante ta louange.		
Que vienne ton règne	Que vienne ton règne		R/ Que vienne ton règne Que ton Nom soit sanctifié, Sur la terre comme au ciel, Que ta volonté soit faite. Que coule en torrents Ton Esprit de vérité. Donnes-nous ton espérance, Ton amour, ta sainteté.	1. Qui pourrait nous séparer De ton amour immense. Qui pourrait nous détourner De ta miséricorde ?	2. Tu habites nos louanges Tu inspires nos prières, Nous attires en ta présence Pour nous tourner vers nos frères.	3. Tu seras notre lumière Il n’y aura plus de nuit. Ton Nom sera sur nos lèvres, De larmes, il n’y aura plus. 			
Que vive mon âme à te louer	Que vive mon âme à te louer		R/ Que vive mon âme à te louer Tu as posé une lampe, une lumière sur ma route, Ta parole, Seigneur, ta parole, Seigneur.	1. Heureux ceux qui marchent dans tes voies, Seigneur ! De tout mon cœur, je veux garder ta parole, Ne me délaisse pas, Dieu de ma joie.	2. Heureux ceux qui veulent faire ta volonté ! Je cours sans peur sur la voie de tes préceptes Et mes lèvres publient ta vérité.	3. Heureux ceux qui suivent tes commandements ! Oui plus que l'or, que l'or fin j'aime ta loi, Plus douce que le miel est ta promesse.	4. Heureux ceux qui méditent sur la sagesse ! Vivifie-moi, apprends-moi tes volontés ; Dès l'aube de ta joie tu m'as comblé.                                         		
Recevez le Christ	Recevez le  christ		R. Recevez le Christ doux et humble, Dieu caché en cette hostie. Bienheureux disciples du Seigneur, Reposez sur son coeur, apprenez tout de lui.	1. Voici le Fils aimé du Père,					
 Don de Dieu pour sauver le monde.									
 Devant nous il est là, il se fait proche,									
 Jésus, l’Agneau de Dieu !									
 Tu prends la condition d’esclave.									
 Roi des rois, tu t’abaisses jusqu’à terre									
 Pour nous laver les pieds.									
 Maître comment te laisser faire ?									
 En mon corps, en mon âme pécheresse,									
 Tu viens pour demeurer.									
 Lave mes pieds et tout mon être :									
 De ton coeur, fais jaillir en moi la source,									
 L’eau vive de l’Esprit.									
Regarde l’étoile	Regarde l’étoile	1. Si le vent des tentations s’élève, si tu heurtes le rocher des épreuves. Si les flots de l’ambition t’entraînent, si l’orage des passions se déchaine:	R/ Regarde l’étoile, invoque Marie, Si tu la suis, tu ne crains rien! Regarde l’étoile, invoque Marie, Elle te conduit sur le chemin		2. Dans l’angoisse et les périls, le doute, quand la nuit du désespoir te recouvre. Si devant la gravité de tes fautes la pensée du jugement te tourmente:	3. Si ton âme est envahie de colère, jalousie et trahison te submergent. Si ton cœur est englouti dans le gouffre, emporté par les courants de tristesse:	4. Elle se lève sur la mer, elle éclaire, son éclat et ses rayons illuminent. Sa lumière resplendit sur la terre, dans les cieux et jusqu’au fond des abîmes.  CODA. Si tu la suis, tu ne dévies pas, si tu la pries, tu ne faiblis pas. Tu ne crains rien, elle est avec toi et jusqu’au port, elle te guidera.		
Regardez l'humilité de Dieu	Regardez l’humilité de Dieu	1. Admirable grandeur, Étonnante bonté Du Maître de l’univers Qui s’humilie pour nous Au point de se cacher Dans une petite hostie de pain.	R/ Regardez l’humilité de Dieu, Regardez l’humilité de Dieu, Regardez l’humilité de Dieu Et faites-lui l’hommage De vos cœurs.		2. Faites-vous tout petits, Vous aussi devant Dieu Pour être élevés par lui, Ne gardez rien pour vous, Offrez-vous tout entiers À ce Dieu qui se donne à vous.				
Rends-nous la joie d'être sauvés	Rends-nous la joie d'être sauvés	1. Ô Jésus, tu connais Les secrets de nos cœurs, Tu traces sur le sol Des signes d’espérance. Tu ne nous juges pas, Ta parole est salut, Et tu nous encourages : « Ne pèche plus »	R/ Rends-nous la joie D’être sauvés Et nos lèvres publieront Ta louange. Raffermis nos pas, Viens nous recréer, Mets en nous, Seigneur, Un cœur nouveau !		2. Comme à l'aveugle-né que tu touches et recrées Tu ouvriras nos yeux, pour mieux te reconnaitre Nous pourrons témoigner et sans peur affirmer Que tu es la lumière dans notre nuit	3. Assis au bord du puits, Aux côtés de Jésus, Nous nous reposerons Des peines de la route. Il puisera pour nous À la source de vie L’eau vive de l’Esprit Qui fortifie.			
Restez en tenue de Service 	Gardez vos lampes allumées			Restez en tenue de service, Gardez vos lampes allumées, Soyez comme des gens qui attendent leur maître À son retour des noces, 	Afin que dès qu’il arrive et frappe, Ils puissent immédiatement lui ouvrir la porte, Heureux ces serviteurs que le maître En arrivant trouve en train de veiller.	Amen, je vous le dis, il prendra la tenue de service Il les invitera à se mettre à table Et passera pour les servir.	… Gardez vos lampes allumées !		
Sauvés des mêmes eaux	Sauvés des mêmes eaux			1. Sauvés des mêmes eaux, marqués du même sang.					
 Nous sommes ton Peuple !									
 Bénis du même amour, signés du même nom ;									
 Nous sommes ton Peuple									
 Et nous te rendons grâce par Jésus ton Enfant !									
 Nous sommes ton Peuple !									
 Greffés au même tronc, unis au même Chef ;									
 Nous sommes ton Peuple									
 Et nous te rendons grâce par Jésus ton Enfant !									
 Nous sommes ton Peuple !									
 Pour prendre un même Pain et boire un même Vin.									
 Nous sommes ton Peuple									
 Et nous te rendons grâce par Jésus ton Enfant !									
Seigneur Jésus, tu es présent	Seigneur Jésus, tu es présent			1. Seigneur Jésus, tu es présent dans ton Eucharistie,					
 Dans cette hostie nous t´adorons et nous te magnifions.									
 Oui, nous croyons que dans ta gloire à jamais nous vivrons.									
 Car en toi resplendit l’amour qui chasse toute peur.									
Seigneur, dans toutes mes rencontres	Seigneur, dans toutes mes rencontres		Seigneur dans toutes mes rencontres fais-moi découvrir ton regard Éclaire-moi par ta Parole sur tes chemins semés d'espoir. (bis)	1. Si la peur assombrit ma route J’ai du mal à te reconnaître Je suis prisonnier de mes doutes Mais toi tu m’invites à rencontrer le frère.	2. Quand l’orgueil insensé m’aveugle J’ai du mal à te reconnaître Mes yeux aux regards se dérobent Et toi tu m’invites à regarder le frère.	3. Si le besoin de rien m’isole J’ai du mal à te reconnaître Mon coeur est sourd à la parole Et toi tu m’invites à écouter le frère.	4. Quand l’indifférence m’emprisonne		
 J’ai du mal à te reconnaître									
 Je passe et ne parle à personne									
 Mais toi tu m’invites à recevoir le frère.									
Seigneur, j’accueille ton pardon	Seigneur, j’accueille ton pardon		R/ Seigneur, j'accueille ton pardon Donne-moi la force de vivre dans l'amour	1. Je viens vers toi, tu me connais Tu sais de quoi chacun est fait C'est près de toi qu'on devient vrai Heureux le cœur qui sait aimer R/	2. Je viens vers toi, tu me connais Je viens te dire mon regret C'est avec toi qu'on peut changer Heureux le cœur qui fait la paix R/	3. Je viens vers toi, je te connais Tu es plus grand que mon péché C'est bien de toi que vient la joie Heureux le coeur réconcilié R/			
Seigneur, viens nous sauver	Seigneur, viens nous sauver		R/ Seigneur, viens nous sauver, Dieu avec nous, Emmanuel, Seigneur, viens nous sauver, Viens, Seigneur Jésus !  	1. Dans le désert monte un cri, « Voici qu’Il vient, l’Agneau de Dieu Aplanissez les chemins Devant ses pas ! »	2. La femme vierge a conçu, Par elle, un Fils nous est donné, Celui qui vient nous sauver : L’Emmanuel !	3. Verbe fait chair en nos vies Pour le salut de tous les hommes, Tu viens briller dans nos nuits, Astre d’en haut !	4. En revêtant notre chair, Tu as aimé l’humanité, Nous t’attendons, ô Jésus, Maranatha !		
Séquence de Pâques d'Hautecombe		A la Victime pascale, chrétiens, offrez le sacrifice de louange. L’agneau a racheté les brebis ; le Christ innocent a réconcilié l’homme pécheur avec le Père. La mort et la vie s’affrontèrent en un duel prodigieux. Le Maître de la vie mourut : vivant, il règne “ Dis-nous, Marie-Madeleine, qu’as-tu vu en chemin ? ”  “ J’ai vu le sépulcre du Christ vivant, j’ai vu la gloire du Ressuscité. J’ai vu les anges ses témoins, le suaire et les vêtements. Le Christ, mon espérance, est ressuscité ! Il vous précédera en Galilée. ”  Nous le savons : le Christ est vraiment ressuscité des morts. Roi victorieux, prends-nous tous en pitié ! Amen.  Nous te magnifions, Lumière du monde, Christ ressuscité! Nous te magnifions Lumière du monde, tu es vraiment ressuscité! (bis) 							
Serviteurs de l’Évangile pour le monde	Serviteurs de l’Évangile pour le monde		R/ Serviteurs de l’évangile pour le monde,						
 Tous ensemble avec le christ,									
 Par nos voix et par nos gestes dieu s’annonce;									
 Que toute chair s’éveille à lui !									
 Voici que des malades sont guéris.									
 L’aveugle voit dans sa nuit briller l’étoile,									
 Le sourd entend notre terre aux mille bruits.									
									
 L’espoir fait tressaillir leur univers.									
 Les affamés sauront-ils que Dieu les sauve									
 Si nous restons prisonniers de nos déserts ?									
									
 Ses voies sont des chemins de communion ;									
 Pour la justice et la vie en plénitude									
 Elle est debout en tout lieu où nous aimons.									
									
Si le Père vous appelle	Si le Père vous appelle	1. Si le Père vous appelle à aimer comme il vous aime, Dans le feu de son Esprit, bienheureux êtes-vous ! Si le monde vous appelle à lui rendre une espérance, A lui dire son salut, bienheureux êtes-vous ! Si l'Eglise vous appelle à peiner pour le Royaume, Aux travaux de la moisson, bienheureux êtes-vous !	R/ Tressaillez de joie ! Tressaillez de joie ! Car vos noms sont inscrits pour toujours dans les cieux ! Tressaillez de joie ! Tressaillez de joie ! Car vos noms sont inscrits dans le coeur de Dieu !		2. Si le Père vous appelle à la tâche des apôtres, En témoins du seul Pasteur, bienheureux êtes-vous ! Si le monde vous appelle à l'accueil et au partage Pour bâtir son unité, bienheureux êtes-vous ! Si l'Eglise vous appelle à répandre l'Evangile En tout point de l'univers, bienheureux êtes-vous !	3. Si le Père vous appelle à quitter toute richesse Pour ne suivre que son Fils, bienheureux êtes-vous ! Si le monde vous appelle à lutter contre la haine Pour la quête de la Paix, bienheureux êtes-vous ! Si l'Eglise vous appelle à tenir dans la prière, Au service des pécheurs, bienheureux êtes-vous !	4. Si le Père vous appelle à parler de ses merveilles, A conduire son troupeau, bienheureux êtes-vous ! Si le monde vous appelle à marcher vers la lumière Pour trouver la vérité, bienheureux êtes-vous ! Si l'Eglise vous appelle à semer avec patience Pour que lève un blé nouveau, bienheureux êtes-vous !  5. Si le Père vous appelle à montrer qu'il est tendresse, A donner le pain vivant, bienheureux êtes-vous ! Si le monde vous appelle au combat pour la justice, Au refus d'être violents, bienheureux êtes-vous ! Si l'Eglise vous appelle à l'amour de tous les hommes Au respect du plus petit, bienheureux êtes-vous !		mi ré do si la fa mi la (2tps)
Si nous nous aimons (Sokito)	Si nous nous aimons	1. Si nous nous aimons les uns les autres, alléluia,(bis) Nous verrons la gloire du Seigneur.	R/ Ô Jésus Sauveur Aaa Gloria, Aaa Gloria. Nous Verrons La Gloire Du Seigneur.		2. Par l’Esprit de Jésus Christ, rassemblés, alléluia,				
 Nous verrons la gloire du Seigneur. (bis)									
Signes par milliers	Signes par milliers		R/ Signes par milliers, traces de ta gloire, Signes par milliers, Dieu dans notre histoire. Signes par milliers, traces de ta gloire, Signes par milliers, Dieu dans notre histoire.	1. Ta main, Seigneur, nous a donné des signes : Des signes par milliers, Des signes par milliers. Le chant de l'univers, Le souffle sur la mer, La flamme des vivants : Dieu, à l'œuvre dans nos temps ! Dieu, à l'œuvre dans nos temps !  	2. Nos yeux, Seigneur, se ferment sur tes signes, Les signes de la joie, Les signes de la joie. Tristesse est notre nuit, La guerre avec ses cris, Le froid de nos maisons : Dieu, tu brises nos prisons ! Dieu, tu brises nos prisons !	3. Jésus, ton fils, nous a donné des signes, Des signes de clarté, Des signes de clarté. Par lui l'aveugle voit, Le sourd entend sa voix, Zachée partage grand : Dieu, parole qui surprend ! Dieu, parole qui surprend !			2nde fois de Signes par milliers, traces de ta gloire, Signes par milliers, Dieu dans notre histoire. 2, 1,
Sois béni toi qui viens tout rayonnant de bonté									
Sur la route d'Emmaüs	Sur la route d'Emmaüs		R/ Ouvre nos yeux, toi qui nous rejoins ! Ouvre nos coeurs, donne-nous ton pain !	3. Pas à pas vers Emmaüs Un espoir en nous renaît, Sous la cendre un feu qui brûle. Sous la cendre un feu qui brûle. La voix des Ecritures Nous réveille au plus secret.	4. C’est le soir sur Emmaüs, Tu seras notre invité; Près de nous viens prendre place ! Près de nous viens prendre place ! A toi de rendre grâce, Le repas est préparé.		1. Sur la route d’Emmaüs Notre coeur est dans la nuit. Qui pourrait lever la tête ? Qui pourrait lever la tête ? Jésus le Grand Prophète Sur la croix s’est endormi. 2. En chemin vers Emmaüs, Tu nous parles du Messie : «Vos esprits sont lents à croire !» «Vos esprits sont lents à croire !» Voyez à quelle Pâque Le Sauveur était promis. 5. A la table d’Emmaüs, Tu partages notre pain, Et ta gloire se révèle. Et ta gloire se révèle. Nos yeux te reconnaissent, Mais déjà tu es si loin ! 6. La Nouvelle d’Emmaüs, Allons vite l’annoncer ! Grand joie pour notre terre ! Grand joie pour notre terre ! Voici la vraie lumière : Jésus-Christ ressuscité !		
Sur les routes de l'alliance	Sur les routes de l'alliance 		R/ Sur les routes de l´Alliance, Ta lumière nous conduit. Nous marchons pleins d´espérance, Tu nous mènes vers la vie.	1. Dieu, printemps du monde, par amour tu nous choisis. Fais grandir ton peuple, nous vivrons pour te servir. Bienheureux qui sait répondre à l´appel de ton Esprit !	2. Dieu, semeur d´étoiles, tu éclaires notre nuit. Fais grandir ton peuple, nous vivrons pour te servir. Bienheureux qui ose croire au soleil de ton pays !	3. Dieu, berger fidèle, tu nous dis quel est ton nom. Fais grandir ton peuple, nous vivrons pour te servir. Bienheureux celui qui cherche, tu lui ouvres ta maison 	4. Dieu, sauveur des hommes, tu nous donnes Jésus Christ. Fais grandir ton peuple, nous vivrons pour te servir. Bienheureux le coeur de pauvre, son trésor est infini !  5. Dieu, promesse offerte, ton Alliance est notre joie. Fais grandir ton peuple, nous vivrons pour te servir. Bienheureux dans ta lumière les marcheurs qui gardent foi !		
Toi qui a été baptisé dans le Christ									
Toi qui aimes	Toi qui aimes		R/ Toi qui aimes ceux qui s'aiment, Car tu es l'amour, Dans nos vies comme un poème, Fais chanter l'amour.	1. Porter à deux bonheur et misère Tournés vers le même horizon. Les yeux éclairés d'une même lumière. Chanter une même chanson.	2. Fais-nous briser barrières et murailles Avec la violence d'aimer ; Chasser la haine sans armes ni batailles, Armés seulement d'amitié.	3. Seigneur, bénis ceux qui, devant leurs frères, Se donnent l'un à l'autre leur foi, Pour que leur amour, tout comme une prière, Toujours les rapproche de toi.	4. Esprit d'amour qui réchauffe le monde, Fais-nous vivre de charité Et pour que nos vies soient belles et fécondes Enseigne-nous à tout donner.		
Tournez les yeux vers le Seigneur et rayonnez de joie 	Tournez les yeux vers le Seigneur		R/ Tournez les yeux vers le Seigneur, Et rayonnez de joie, Chantez son nom de tout votre cœur, Il est votre Sauveur, C’est lui votre Seigneur.	1. J’ai cherché le Seigneur Et il m’a écouté. Il m’a guéri de mes peurs Et sans fin je le louerai. R/	2. Dieu regarde ceux qu’il aime, Il écoute leur voix, Il les console de leur peine, Et il guide leurs pas. R/	3. Ceux qui cherchent le Seigneur Ne seront privés de rien. S’ils lui ouvrent leur cœur, Ils seront comblés de bien. R/			Tournez les yeux vers le Seigneur, et rayonnez de joie
Trouver dans ma vie ta présence	Trouver dans ma vie ta présence		R/ Trouver dans ma vie ta présence, Tenir une lampe allumée, Choisir d’habiter la confiance, Aimer et se savoir aimé.	1. Croiser ton regard dans le doute, Brûler à l’écho de ta voix, Rester pour le pain de la route, Savoir reconnaître ton pas.	2. Brûler quand le feu devient cendre, Partir vers celui qui attend, Choisir de donner sans reprendre, Fêter le retour d’un enfant.	3. Ouvrir quand tu frappes à ma porte, Briser les verrous de la peur, Savoir tout ce que tu m’apportes, Rester et devenir veilleur.			
Tu es devenu enfant de Dieu	Tu es devenu enfant de Dieu		R/ TU ES DEVENU ENFANT DE DIEU ET FRÈRE DE JÉSUS, ALLELUIA ! AUJOURD’HUI L’ESPRIT REPOSE EN TOI ET CHANTE ALLELUIA !				1. Tu rentres dans la ronde, la ronde de son amour, Tu danses avec tes frères la danse de sa joie.  2. Tu portes sa lumière, lumière de sa beauté, Tu chantes ses merveilles, merveilles de son coeur.		
Tu es, seigneur, notre résurrection									
Tu fais ta demeure en nous	Tu fais ta demeure en nous		R/ Tu es là présent, livré pour nous. Toi le tout-petit, le serviteur. Toi, le Tout-Puissant, humblement tu t’abaisses. Tu fais ta demeure en nous Seigneur.	1. Le pain que nous mangeons, le vin que nous buvons, C’est ton corps et ton sang, Tu nous livres ta vie, tu nous ouvres ton cœur, Tu fais ta demeure en nous Seigneur.	2. Par le don de ta vie, tu désires aujourd’hui Reposer en nos cœurs, Brûlé de charité, assoiffé d’être aimé, Tu fais ta demeure en nous Seigneur.	3. Unis à ton Amour, tu nous veux pour toujours Ostensoirs du Sauveur, En notre humanité, tu rejoins l’égaré, Tu fais ta demeure en nous Seigneur.			R/ en entier
Un grand champ à moissonner	Un grand champ à moissonner		R/ UN GRAND CHAMP A MOISSONNER, UNE VIGNE A VENDANGER DIEU APPELLE MAINTENANT POUR SA RECOLTE ! DIEU APPELLE MAINTENANT SES OUVRIERS !	1. Vers la terre où tu semas le désir de la lumière, CONDUIS-NOUS SEIGNEUR ! Vers les coeurs où tu plantas l'espérance d'une aurore, NOUS IRONS, SEIGNEUR !	2. Vers la terre où tu semas le désir d'un monde juste, CONDUIS-NOUS, SEIGNEUR ! Vers les coeurs où tu plantas l'espérance d'une alliance, NOUS IRONS, SEIGNEUR !	3. Vers la terre où tu semas le désir de vivre libre, CONDUIS-NOUS, SEIGNEUR ! Vers les coeurs où tu plantas l'espérance d'une fête NOUS IRONS, SEIGNEUR !	4. Vers la terre où tu semas le désir de la Rencontre, CONDUIS-NOUS, SEIGNEUR ! Vers les coeurs où tu plantas l'espérance d'un Visage, NOUS IRONS, SEIGNEUR !		
Venez chantons notre Dieu	Venez chantons notre Dieu		R/ Venez, chantons notre Dieu, lui, le roi des cieux, Il est venu pour sauver l’humanité et nous donner la vie. Exulte pour ton roi, Jérusalem, danse de joie.	1. Il est venu pour nous sauver du péché, exulte, Jérusalem, danse de joie. Oui par sa mort tous nous sommes libérés, exulte, Jérusalem, danse de joie.	2. Oui tous ensemble rejetons notre péché, exulte, Jérusalem, danse de joie. Dans sa bonté, tous nous sommes pardonnés, exulte, Jérusalem, danse de joie.	3. Le Roi de gloire nous a donné le salut, exulte, Jérusalem, danse de joie. Sa majesté, nous pouvons la contempler, exulte, Jérusalem, danse de joie.	4. S'il est venu ce n'est pas pour nous juger, exulte, Jérusalem, danse de joie. Mais seulement pour que nous soyons sauvés, exulte, Jérusalem, danse de joie.		
Venez, c'est Noël	Venez, c'est Noël			1. Venez, c'est Noël, accourez vers l'Enfant! Lumière espérée, le Seigneur nous attend. Voyez dans la crèche le Fils nouveau né; Le Dieu de tendresse aujourd'hui l'a donné.	2. Il vient comme un pauvre au milieu de la nuit, Lumière de joie pour Joseph et Marie. Sa mère en silence bénit le très haut : Le Verbe fait chair dans ce monde est éclos.	3. Les anges pour lui font sonner « Gloire à Dieu ». Lumière de paix sur la terre et aux cieux! Voici que s'éveille le chant des bergers; L'étable est remplie de nouvelles clartés.	4. Jésus, Fils de Dieu, tu reviens parmi nous, Lumière d'espoir quand nos yeux voient ton jour. Que brille l'étoile au profond de nos coeurs! L'amour y naîtra comme un fruit du Sauveur.		
